epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5323.43,0.52316,0.51237,1.08159,0.98175,0.97821,0.99295,0.9356,0.2616,0.38575,0.66479,0.001208,0.001208,0.001208
82,5514.86,0.52481,0.49465,1.0868,0.96657,0.97273,0.99009,0.93567,0.26561,0.49102,0.66669,0.0011981,0.0011981,0.0011981
83,5703.76,0.51759,0.48098,1.07306,0.99426,0.95455,0.99166,0.94202,0.24967,0.46698,0.6549,0.0011882,0.0011882,0.0011882
84,5896.22,0.54328,0.50102,1.09939,0.98105,0.98182,0.99136,0.93959,0.24629,0.34739,0.65374,0.0011783,0.0011783,0.0011783
85,6085.93,0.51442,0.48373,1.06862,1,0.96755,0.98862,0.92883,0.26751,0.7276,0.65699,0.0011684,0.0011684,0.0011684
86,6276.93,0.52099,0.48219,1.07648,0.98136,0.95749,0.99032,0.93917,0.25505,0.48866,0.66704,0.0011585,0.0011585,0.0011585
87,6467.69,0.51251,0.4652,1.06551,0.98146,0.96272,0.98169,0.94396,0.25031,0.74131,0.65292,0.0011486,0.0011486,0.0011486
88,6658.07,0.49993,0.4786,1.05329,0.99671,0.95455,0.98948,0.93333,0.24456,0.40052,0.65692,0.0011387,0.0011387,0.0011387
89,6846.63,0.49167,0.47605,1.05168,0.99065,0.9628,0.99183,0.93977,0.24768,0.34436,0.65316,0.0011288,0.0011288,0.0011288
90,7036.1,0.512,0.48547,1.07125,0.97296,0.98135,0.99076,0.94376,0.24308,0.43103,0.65003,0.0011189,0.0011189,0.0011189
91,7229.58,0.50764,0.47714,1.07468,1,0.96292,0.98354,0.94256,0.23959,0.40389,0.65403,0.001109,0.001109,0.001109
92,7418.32,0.50193,0.45345,1.06358,0.99923,0.95455,0.99028,0.95325,0.24079,0.30031,0.64091,0.0010991,0.0010991,0.0010991
93,7607.73,0.49103,0.44821,1.05843,0.99861,0.96364,0.9916,0.94999,0.23731,0.28365,0.6501,0.0010892,0.0010892,0.0010892
94,7795.33,0.49601,0.46797,1.0575,0.99074,0.9722,0.99146,0.94855,0.24203,0.34582,0.64851,0.0010793,0.0010793,0.0010793
95,7987.96,0.50658,0.45866,1.07124,0.99867,0.96364,0.98947,0.94565,0.2428,0.26671,0.65074,0.0010694,0.0010694,0.0010694
96,623.121,0.52199,0.52226,1.0724,0.99027,0.96364,0.98676,0.93707,0.24746,0.30483,0.65216,0.0010595,0.0010595,0.0010595
97,799.916,0.50156,0.46328,1.06927,0.98816,0.95455,0.9827,0.94089,0.26067,0.309,0.66829,0.0010496,0.0010496,0.0010496
98,978.993,0.48828,0.45188,1.05175,1,0.97199,0.9906,0.94825,0.23223,0.27456,0.6482,0.0010397,0.0010397,0.0010397
99,1161.23,0.47795,0.4561,1.04952,0.9973,0.96364,0.99064,0.94233,0.24101,0.32691,0.65289,0.0010298,0.0010298,0.0010298
100,1341.01,0.48705,0.45546,1.06232,0.99892,0.97273,0.99139,0.93515,0.2466,0.32487,0.65139,0.0010199,0.0010199,0.0010199
101,1520.63,0.48814,0.44626,1.04926,0.98817,0.95455,0.98455,0.94363,0.22598,0.36735,0.64391,0.00101,0.00101,0.00101
102,1699.07,0.46822,0.44075,1.04218,0.99715,0.96364,0.99055,0.95331,0.23229,0.25672,0.64946,0.0010001,0.0010001,0.0010001
103,1887.87,0.47663,0.44285,1.04158,1,0.97132,0.98699,0.95309,0.21896,0.43182,0.6429,0.0009902,0.0009902,0.0009902
104,2069.29,0.47456,0.43727,1.04825,0.98797,0.98182,0.9915,0.94926,0.22707,0.38118,0.64761,0.0009803,0.0009803,0.0009803
105,2249.56,0.45368,0.42658,1.03888,0.99842,0.97273,0.99064,0.94991,0.22565,0.39025,0.64482,0.0009704,0.0009704,0.0009704
106,2427,0.45382,0.41699,1.03955,0.99064,0.96175,0.99237,0.94986,0.23581,0.26962,0.64567,0.0009605,0.0009605,0.0009605
107,2604.18,0.44883,0.40359,1.02226,0.99941,0.97273,0.99057,0.94098,0.23173,0.22819,0.65089,0.0009506,0.0009506,0.0009506
108,2786.3,0.43728,0.39409,1.01806,0.99074,0.97225,0.99096,0.95937,0.21648,0.24689,0.63869,0.0009407,0.0009407,0.0009407
109,2967.59,0.45696,0.40974,1.03614,0.99887,0.97273,0.99324,0.95595,0.22668,0.22754,0.64616,0.0009308,0.0009308,0.0009308
110,3148.25,0.47034,0.43052,1.05155,0.99799,0.96364,0.98904,0.95354,0.22505,0.31437,0.63488,0.0009209,0.0009209,0.0009209
111,3329.01,0.45005,0.39864,1.02937,0.99808,0.96364,0.99005,0.94409,0.23916,0.32128,0.64991,0.000911,0.000911,0.000911
112,3509.43,0.46782,0.41005,1.05004,1,0.962,0.98976,0.95421,0.22721,0.25573,0.65232,0.0009011,0.0009011,0.0009011
113,3690.66,0.45313,0.39274,1.02975,0.98687,0.98182,0.99429,0.96393,0.2281,0.464,0.64419,0.0008912,0.0008912,0.0008912
114,3871.73,0.44579,0.4055,1.03259,0.99865,0.96364,0.99247,0.95341,0.23097,0.25312,0.64374,0.0008813,0.0008813,0.0008813
115,4051.89,0.43553,0.39773,1.02949,0.99782,0.97273,0.99364,0.9575,0.21911,0.45362,0.64013,0.0008714,0.0008714,0.0008714
116,4231.82,0.43881,0.38594,1.02465,0.99792,0.96364,0.99248,0.96117,0.21412,0.46579,0.64115,0.0008615,0.0008615,0.0008615
117,4411.65,0.438,0.38133,1.02468,0.99065,0.96295,0.99274,0.95859,0.21228,0.40931,0.63489,0.0008516,0.0008516,0.0008516
118,4590.51,0.42979,0.37498,1.01269,0.99648,0.97273,0.99356,0.96336,0.20153,0.29464,0.62991,0.0008417,0.0008417,0.0008417
119,4772.32,0.44134,0.37941,1.03097,0.99333,0.96364,0.99284,0.9559,0.20644,0.21195,0.63582,0.0008318,0.0008318,0.0008318
120,4950.69,0.427,0.36737,1.01325,0.99547,0.97273,0.9908,0.9545,0.2129,0.2511,0.63749,0.0008219,0.0008219,0.0008219
121,5130.33,0.43655,0.38158,1.02118,0.99888,0.97273,0.99221,0.96112,0.20835,0.3643,0.63373,0.000812,0.000812,0.000812
122,5307.15,0.42584,0.37166,1.01426,0.99901,0.97273,0.99279,0.95807,0.21742,0.27109,0.64095,0.0008021,0.0008021,0.0008021
123,5487.78,0.41982,0.36553,1.001,0.99551,0.97273,0.9916,0.95633,0.21573,0.40628,0.63947,0.0007922,0.0007922,0.0007922
124,5668.06,0.42136,0.36511,1.0072,0.9957,0.95455,0.9917,0.96531,0.2067,0.23957,0.63668,0.0007823,0.0007823,0.0007823
125,5850.78,0.41712,0.37433,1.01217,0.99587,0.97273,0.99318,0.96345,0.20341,0.26985,0.6359,0.0007724,0.0007724,0.0007724
126,6031.11,0.41894,0.36851,1.01598,0.99622,0.97273,0.9916,0.95726,0.20697,0.44479,0.63154,0.0007625,0.0007625,0.0007625
127,6210.47,0.41966,0.35896,1.01109,0.99821,0.96364,0.99322,0.95628,0.20822,0.20466,0.63173,0.0007526,0.0007526,0.0007526
128,6389.74,0.4184,0.35334,1.01185,0.99871,0.96364,0.99402,0.96189,0.21208,0.23544,0.63643,0.0007427,0.0007427,0.0007427
129,6572.28,0.41224,0.3744,1.00682,0.99875,0.96364,0.99336,0.96367,0.20168,0.24731,0.63364,0.0007328,0.0007328,0.0007328
130,6753.86,0.42068,0.36446,1.013,0.99858,0.96364,0.98984,0.95996,0.20793,0.21968,0.63412,0.0007229,0.0007229,0.0007229
131,6935.9,0.41952,0.36862,1.01324,0.99832,0.96364,0.99095,0.96086,0.21092,0.22284,0.63032,0.000713,0.000713,0.000713
132,7117.65,0.42407,0.36914,1.01687,0.99887,0.97273,0.99335,0.97099,0.20448,0.21112,0.62931,0.0007031,0.0007031,0.0007031
133,7301.03,0.41901,0.36226,1.00852,0.99913,0.97273,0.99114,0.96631,0.20285,0.19988,0.6348,0.0006932,0.0006932,0.0006932
134,7482.5,0.41443,0.36423,1.00517,0.99781,0.97273,0.99231,0.96929,0.19388,0.20183,0.62549,0.0006833,0.0006833,0.0006833
135,7663.64,0.41178,0.3531,1.01755,0.99547,0.97273,0.99091,0.96398,0.20669,0.22522,0.63361,0.0006734,0.0006734,0.0006734
136,7843.81,0.41068,0.35587,1.01536,0.99852,0.97273,0.99014,0.9666,0.1963,0.20445,0.63004,0.0006635,0.0006635,0.0006635
137,8024.43,0.4023,0.34526,0.99833,0.99748,0.96364,0.99204,0.9673,0.20497,0.20062,0.63458,0.0006536,0.0006536,0.0006536
138,8206.32,0.42717,0.36626,1.01293,0.99074,0.97258,0.99063,0.95877,0.20868,0.22634,0.63801,0.0006437,0.0006437,0.0006437
139,8386.73,0.41513,0.34445,1.01657,0.99159,0.97273,0.9903,0.96086,0.1994,0.25938,0.62935,0.0006338,0.0006338,0.0006338
140,8566.35,0.41393,0.34927,1.00631,0.99874,0.97273,0.99188,0.96437,0.18938,0.21317,0.62622,0.0006239,0.0006239,0.0006239
141,8746.19,0.38608,0.33492,0.99175,0.99857,0.97273,0.99308,0.95996,0.19133,0.19626,0.62476,0.000614,0.000614,0.000614
142,8926.15,0.40389,0.33917,1.0033,1,0.97113,0.99336,0.96595,0.19197,0.19389,0.6288,0.0006041,0.0006041,0.0006041
143,9107.18,0.40151,0.33519,0.9921,0.99863,0.97273,0.99255,0.97021,0.19423,0.23009,0.6265,0.0005942,0.0005942,0.0005942
144,9285.98,0.39789,0.34321,0.9995,0.99825,0.97273,0.99359,0.96535,0.19994,0.27351,0.63382,0.0005843,0.0005843,0.0005843
145,9465.22,0.38221,0.33106,0.99159,0.99908,0.97273,0.99317,0.9663,0.19729,0.2435,0.62937,0.0005744,0.0005744,0.0005744
146,612.516,0.41548,0.38158,1.00529,0.99864,0.97273,0.99404,0.9671,0.20555,0.31562,0.63902,0.0005645,0.0005645,0.0005645
147,796.734,0.39736,0.33848,1.00779,0.9992,0.97273,0.99355,0.96457,0.19917,0.26714,0.63282,0.0005546,0.0005546,0.0005546
148,979.069,0.38794,0.33356,0.99511,0.99876,0.97273,0.99342,0.96647,0.19698,0.2319,0.62876,0.0005447,0.0005447,0.0005447
149,1160.74,0.37903,0.3298,0.98981,1,0.96979,0.99348,0.96711,0.19265,0.33238,0.62463,0.0005348,0.0005348,0.0005348
150,1343.19,0.39379,0.33513,1.00209,1,0.96959,0.99308,0.96962,0.18456,0.33618,0.62033,0.0005249,0.0005249,0.0005249
151,1522.15,0.38433,0.32442,0.99434,0.99285,0.97273,0.99413,0.96996,0.18701,0.42942,0.62324,0.000515,0.000515,0.000515
152,1703.23,0.3737,0.32375,0.98652,0.99876,0.97273,0.99371,0.96755,0.18986,0.22781,0.62592,0.0005051,0.0005051,0.0005051
153,1885.18,0.3759,0.32064,0.98505,0.99627,0.97273,0.99316,0.96714,0.19289,0.28884,0.6276,0.0004952,0.0004952,0.0004952
154,2065.36,0.38374,0.32778,0.99396,0.99898,0.97273,0.99363,0.9687,0.19489,0.23108,0.62802,0.0004853,0.0004853,0.0004853
155,2246.22,0.36895,0.31344,0.98217,0.98966,0.97273,0.99309,0.96589,0.19084,0.31229,0.62596,0.0004754,0.0004754,0.0004754
156,2426.98,0.36548,0.31106,0.98414,0.99074,0.97257,0.99323,0.96597,0.1901,0.36349,0.62546,0.0004655,0.0004655,0.0004655
157,2605.68,0.35304,0.29868,0.96994,0.99899,0.97273,0.99389,0.9679,0.18786,0.28347,0.62546,0.0004556,0.0004556,0.0004556
158,2789.61,0.34511,0.29662,0.96492,0.99695,0.97273,0.99398,0.96693,0.18664,0.25896,0.62574,0.0004457,0.0004457,0.0004457
159,2970.81,0.36832,0.30809,0.98429,0.99926,0.97273,0.99446,0.96525,0.1887,0.22655,0.6294,0.0004358,0.0004358,0.0004358
160,3150.67,0.36994,0.32011,0.99256,0.99904,0.97273,0.99421,0.97024,0.18565,0.21747,0.62452,0.0004259,0.0004259,0.0004259
161,3332.57,0.36379,0.29566,0.98103,1,0.98085,0.99338,0.97434,0.18233,0.20592,0.62399,0.000416,0.000416,0.000416
162,3523.12,0.37464,0.30561,0.99636,0.99835,0.97273,0.99218,0.97076,0.18063,0.20102,0.62231,0.0004061,0.0004061,0.0004061
